country,city,zone,metric,current_value,value_1w_ago,value_5w_ago,delta_1w,delta_5w
AR,Bahia Blanca,BAHIA_BLANCA_NORTE,% PRO Users Who Breakeven,0.2026049204,0.1988041854,0.1457943925,0.0038007349999999995,0.05681052789999999
AR,Bahia Blanca,BAHIA_BLANCA_NORTE,% Restaurants Sessions With Optimal Assortment,0.1808625005,0.162837918,0.1250663541,0.018024582499999997,0.055796146399999996
AR,Bahia Blanca,BAHIA_BLANCA_NORTE,Gross Profit UE,-0.7851991727,0.2670062209,-1.489828488,-1.0522053936,0.7046293153
AR,Bahia Blanca,BAHIA_BLANCA_NORTE,Lead Penetration,0.2164660767,0.2157699115,0.2052054296,0.0006961652000000151,0.01126064710000002
AR,Bahia Blanca,BAHIA_BLANCA_NORTE,MLTV Top Verticals Adoption,0.09165297509,0.09893012703,0.07847773538,-0.00727715193999999,0.013175239710000008
AR,Bahia Blanca,BAHIA_BLANCA_NORTE,Non-Pro PTC > OP,0.728519462,0.7208148723,0.7317756229,0.007704589699999986,-0.003256160900000027
AR,Bahia Blanca,BAHIA_BLANCA_NORTE,Perfect Orders,0.9022794184,0.8996000311,0.8854452318,0.002679387300000058,0.016834186600000023
AR,Bahia Blanca,BAHIA_BLANCA_NORTE,Pro Adoption (Last Week Status),0.2455156951,0.2330369677,0.2068248023,0.0124787274,0.03869089279999999
AR,Bahia Blanca,BAHIA_BLANCA_NORTE,Restaurants Markdowns / GMV,0.1357953937,0.1352299663,0.128177776,0.0005654273999999848,0.007617617699999996
AR,Bahia Blanca,BAHIA_BLANCA_NORTE,Restaurants SS > ATC CVR,0.396985248,0.3794482619,0.4403055085,0.01753698610000004,-0.043320260499999985
AR,Bahia Blanca,BAHIA_BLANCA_NORTE,Restaurants SST > SS CVR,0.9256567993,0.9259713274,0.915179563,-0.0003145280999999889,0.01047723629999997
AR,Bahia Blanca,BAHIA_BLANCA_NORTE,Retail SST > SS CVR,0.8598123293,0.8762949692,0.8542666705,-0.016482639900000096,0.0055456587999999085
AR,Bahia Blanca,BAHIA_BLANCA_SUR,% PRO Users Who Breakeven,0.160887656,0.1683309558,0.1335504886,-0.007443299799999997,0.0273371674
AR,Bahia Blanca,BAHIA_BLANCA_SUR,% Restaurants Sessions With Optimal Assortment,0.1196646708,0.104329583,0.07795970861,0.015335087799999994,0.04170496219
AR,Bahia Blanca,BAHIA_BLANCA_SUR,Gross Profit UE,-1.072561247,-0.2558363846,-1.037804252,-0.8167248624000001,-0.03475699500000018
AR,Bahia Blanca,BAHIA_BLANCA_SUR,Lead Penetration,0.1105230483,0.1052395092,0.1054897352,0.005283539099999998,0.005033313099999992
AR,Bahia Blanca,BAHIA_BLANCA_SUR,MLTV Top Verticals Adoption,0.05860249413,0.06489071847,0.06402972108,-0.006288224339999995,-0.0054272269500000025
AR,Bahia Blanca,BAHIA_BLANCA_SUR,Non-Pro PTC > OP,0.7552361482,0.760320496,0.7390822888,-0.0050843478,0.016153859399999915
AR,Bahia Blanca,BAHIA_BLANCA_SUR,Perfect Orders,0.925925856,0.9223983534,0.9084460305,0.00352750260000001,0.017479825500000046
AR,Bahia Blanca,BAHIA_BLANCA_SUR,Pro Adoption (Last Week Status),0.2465564738,0.2310249307,0.2126654064,0.015531543100000017,0.0338910674
AR,Bahia Blanca,BAHIA_BLANCA_SUR,Restaurants Markdowns / GMV,0.1285122662,0.1364243894,0.1313018055,-0.00791212320000001,-0.0027895393000000046
AR,Bahia Blanca,BAHIA_BLANCA_SUR,Restaurants SS > ATC CVR,0.4029796252,0.3939325676,0.437266832,0.009047057600000019,-0.03428720679999997
AR,Bahia Blanca,BAHIA_BLANCA_SUR,Restaurants SST > SS CVR,0.9207282225,0.92164993,0.9121397719,-0.0009217074999999797,0.00858845060000002
AR,Bahia Blanca,BAHIA_BLANCA_SUR,Retail SST > SS CVR,0.8389684982,0.8502446872,0.8288395966,-0.011276189000000048,0.010128901600000018
AR,Bariloche,BARILOCHE_CENTRO,% PRO Users Who Breakeven,0.04761904762,0.05135951662,0.04,-0.0037404689999999963,0.00761904762
AR,Bariloche,BARILOCHE_CENTRO,% Restaurants Sessions With Optimal Assortment,0.0,0.0,0.0,0.0,0.0
AR,Bariloche,BARILOCHE_CENTRO,Gross Profit UE,2.993453867,4.611557838,3.332539714,-1.6181039710000005,-0.3390858470000002
AR,Bariloche,BARILOCHE_CENTRO,Lead Penetration,0.2485119068,0.2431847394,0.2105082932,0.005327167399999999,0.038003613599999986
AR,Bariloche,BARILOCHE_CENTRO,MLTV Top Verticals Adoption,0.0405995926,0.04303856067,0.04369428951,-0.0024389680700000055,-0.00309469691
AR,Bariloche,BARILOCHE_CENTRO,Non-Pro PTC > OP,0.8050813528,0.791098366,0.8165360062,0.013982986799999986,-0.011454653399999959
AR,Bariloche,BARILOCHE_CENTRO,Perfect Orders,0.8668702257,0.8362063656,0.7689681609,0.030663860100000107,0.09790206480000008
AR,Bariloche,BARILOCHE_CENTRO,Pro Adoption (Last Week Status),0.1732394366,0.1650124069,0.1435018051,0.0082270297,0.0297376315
AR,Bariloche,BARILOCHE_CENTRO,Restaurants Markdowns / GMV,0.07618009155,0.07821316261,0.06102108023,-0.0020330710600000024,0.015159011319999999
AR,Bariloche,BARILOCHE_CENTRO,Restaurants SS > ATC CVR,0.4014711357,0.3665723525,0.3768223732,0.034898783200000005,0.024648762499999977
AR,Bariloche,BARILOCHE_CENTRO,Restaurants SST > SS CVR,0.8040115118,0.8007584938,0.7750291431,0.0032530179999999964,0.028982368699999927
AR,Bariloche,BARILOCHE_CENTRO,Retail SST > SS CVR,0.9807897077,0.9784175683,0.9724309217,0.0023721393999999174,0.008358785999999951
AR,Buenos Aires,Avellaneda - Sarandi,% PRO Users Who Breakeven,0.2854166667,0.2891911238,0.2717206133,-0.003774457100000017,0.013696053399999963
AR,Buenos Aires,Avellaneda - Sarandi,% Restaurants Sessions With Optimal Assortment,0.8604678417,0.8573290381,0.7950119603,0.003138803599999962,0.06545588140000003
AR,Buenos Aires,Avellaneda - Sarandi,Gross Profit UE,-1.126024996,-0.5589659537,-1.357793238,-0.5670590422999999,0.231768242
AR,Buenos Aires,Avellaneda - Sarandi,Lead Penetration,0.2874803513,0.2800265035,0.2688426885,0.007453847799999969,0.01863766280000001
AR,Buenos Aires,Avellaneda - Sarandi,MLTV Top Verticals Adoption,0.180600327,0.1874678672,0.1785447452,-0.006867540199999994,0.0020555818000000114
AR,Buenos Aires,Avellaneda - Sarandi,Non-Pro PTC > OP,0.7497797459,0.7437542102,0.7796377866,0.006025535699999973,-0.029858040700000088
AR,Buenos Aires,Avellaneda - Sarandi,Perfect Orders,0.861389465,0.8663469296,0.8584982811,-0.004957464600000017,0.002891183899999983
AR,Buenos Aires,Avellaneda - Sarandi,Pro Adoption (Last Week Status),0.3042102701,0.2860120909,0.2664218686,0.018198179199999998,0.03778840150000001
AR,Buenos Aires,Avellaneda - Sarandi,Restaurants Markdowns / GMV,0.1523287087,0.1443827537,0.1407253116,0.007945955000000005,0.011603397099999996
AR,Buenos Aires,Avellaneda - Sarandi,Restaurants SS > ATC CVR,0.4796292524,0.4750965378,0.451551594,0.004532714599999987,0.028077658399999983
AR,Buenos Aires,Avellaneda - Sarandi,Restaurants SST > SS CVR,0.9287398501,0.931424957,0.9177268348,-0.0026851069000000116,0.011013015300000095
AR,Buenos Aires,Avellaneda - Sarandi,Retail SST > SS CVR,0.8930580243,0.9041128719,0.9003723962,-0.011054847599999973,-0.00731437189999995
AR,Buenos Aires,Avellaneda - Sarandi,Turbo Adoption,0.8195121951,0.7257281553,,0.09378403979999994,
AR,Buenos Aires,BERAZATEGUI,% PRO Users Who Breakeven,0.2401746725,0.2622222222,0.2242268041,-0.02204754970000003,0.01594786839999998
AR,Buenos Aires,BERAZATEGUI,% Restaurants Sessions With Optimal Assortment,0.1511866681,0.1575848263,0.1044872914,-0.006398158200000004,0.0466993767
AR,Buenos Aires,BERAZATEGUI,Gross Profit UE,-2.542719187,-1.576351224,-1.342908632,-0.9663679629999999,-1.1998105549999998
AR,Buenos Aires,BERAZATEGUI,Lead Penetration,0.1708097334,0.1680800009,0.1611356974,0.0027297324999999983,0.009674035999999997
AR,Buenos Aires,BERAZATEGUI,MLTV Top Verticals Adoption,0.1181521672,0.1237614623,0.1086722383,-0.005609295099999995,0.009479928900000004
AR,Buenos Aires,BERAZATEGUI,Non-Pro PTC > OP,0.685719966,0.6964777227,0.7567146721,-0.01075775670000001,-0.07099470610000003
