country,city,zone,metric,week,week_label,value
CO,Bogota,Chapinero,Orders,8,l8w,264650.0
CO,Bogota,Usaquén,Orders,8,l8w,233674.0
PE,Lima,Miraflores,Orders,8,l8w,123252.0
CO,Medellin,Poblado_guayabal,Orders,8,l8w,123163.0
PE,Lima,San isidro,Orders,8,l8w,109987.0
CO,Medellin,Laureles_belén,Orders,8,l8w,107288.0
CO,Bogota,Colina,Orders,8,l8w,97927.0
AR,Buenos Aires,Microcentro,Orders,8,l8w,92744.0
MX,Ciudad De Mexico,Del Valle-Narvarte,Orders,8,l8w,85132.0
MX,Ciudad De Mexico,Roma-Polanco,Orders,8,l8w,77871.0
AR,Buenos Aires,CABALLITO,Orders,8,l8w,75165.0
AR,Buenos Aires,Palermo,Orders,8,l8w,70976.0
CO,Barranquilla,Riomar,Orders,8,l8w,69778.0
PE,Lima,San Borja,Orders,8,l8w,66519.0
MX,Guadalajara,La estancia,Orders,8,l8w,58289.0
AR,Buenos Aires,Belgrano,Orders,8,l8w,54418.0
CO,Cali,Cali Centro oeste,Orders,8,l8w,51786.0
MX,Ciudad De Mexico,Coyoacan-Pedregal,Orders,8,l8w,51532.0
CO,Medellin,Envigado,Orders,8,l8w,51356.0
CO,Bogota,Engativa,Orders,8,l8w,45886.0
MX,Guadalajara,Zapopan,Orders,8,l8w,44700.0
BR,Grande São Paulo,Jardins/Pinheiros,Orders,8,l8w,44640.0
BR,Grande São Paulo,SP - SP - Itaim Bibi,Orders,8,l8w,44119.0
CO,Bogota,Salitre,Orders,8,l8w,40557.0
CO,Barranquilla,Miramar y Alamedas,Orders,8,l8w,40329.0
PE,Lima,Monterrico,Orders,8,l8w,39263.0
AR,Buenos Aires,Urquiza - Saavedra,Orders,8,l8w,37053.0
CO,Bogota,Suba,Orders,8,l8w,36512.0
MX,Ciudad De Mexico,CDMX_coapa_iztapalapa,Orders,8,l8w,36279.0
CO,Cali,Ingenio Limonar,Orders,8,l8w,36219.0
PE,Lima,San Miguel,Orders,8,l8w,36060.0
CO,Medellin,Caribe_centro,Orders,8,l8w,32524.0
BR,Grande São Paulo,Barra_funda/Lapa,Orders,8,l8w,32319.0
CO,Medellin,Sabaneta,Orders,8,l8w,31589.0
CO,Bogota,Fontibon,Orders,8,l8w,30623.0
